Countries,1963-1964,1964-1965,1965-1966,1966-1967,1967-1968,1968-1969,1969-1970,1970-1971,1971-1972,1972-1973,1973-1974,1974-1975,1975-1976,1976-1977,1977-1978,1978-1979,1979-1980,1980-1981,1981-1982,1982-1983,1983-1984,1984-1985,1985-1986,1986-1987,1987-1988,1988-1989,1989-1990,1990-1991,1991-1992,1992-1993,1993-1994,1994-1995,1995-1996,1996-1997,1997-1998,1998-1999,1999-2000,2000-2001,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,sum
Germany,830,760,953,845,913,776,881,869,940,974,974,953,883,955,907,866,921,934,1016,947,1031,1004,933,888,860,797,705,776,825,723,626,695,593,572,563,508,445,403,361,269,302,317,327,302,292,295,312,348,365,437,390,370,360,360,390,384,364,351,365,419,440,39164
England,1132,1061,953,895,982,890,836,736,783,827,814,926,876,814,872,865,821,800,786,826,887,965,871,900,756,700,712,712,843,842,840,779,604,541,489,437,433,422,397,361,346,367,355,323,327,310,342,320,323,290,320,297,297,291,275,284,366,372,358,387,459,37995
France,721,701,967,801,771,585,699,759,788,748,752,678,763,743,743,803,722,704,612,743,653,677,634,524,536,523,470,493,543,602,595,670,616,671,568,565,558,525,555,577,570,482,438,443,519,503,457,467,507,584,531,514,552,603,515,614,493,614,700,681,568,37713
Spain,495,495,499,578,576,491,516,474,596,576,514,544,487,456,545,558,522,622,655,604,562,479,583,727,693,665,644,554,621,595,556,558,734,638,402,469,559,617,560,564,552,513,491,457,500,587,574,513,546,626,619,556,573,647,584,608,600,613,618,503,546,34409
Italy,373,457,466,468,383,415,396,423,427,403,442,413,495,492,477,433,421,408,407,368,380,322,308,347,341,393,415,401,374,492,480,487,544,568,611,489,463,503,518,538,518,635,626,673,664,616,569,522,475,488,474,433,439,472,431,417,424,374,392,310,321,27814
Argentina,129,92,104,76,58,40,25,20,96,114,202,199,249,270,287,234,191,164,119,113,150,147,163,114,68,72,143,67,85,92,87,117,91,141,147,191,169,211,207,165,161,126,169,198,218,229,302,301,360,335,284,357,264,314,290,278,229,203,185,203,183,10598
Brazil,139,103,107,93,78,61,45,57,31,28,43,64,45,38,22,21,26,43,39,25,50,34,20,20,65,144,94,86,88,86,125,115,139,228,183,192,223,237,268,289,358,352,347,349,373,356,319,232,197,204,250,215,223,242,265,204,215,197,235,258,205,9390
Scotland,266,337,324,324,222,174,229,195,199,192,159,149,188,218,236,204,197,257,209,203,171,184,178,125,136,95,85,100,108,97,56,57,51,49,52,47,56,45,19,12,37,26,26,14,19,7,34,36,46,49,31,35,24,32,18,23,39,27,28,22,31,6809
Netherlands,9,7,5,16,7,2,18,23,5,30,67,40,45,49,29,37,25,30,25,36,23,13,17,12,16,45,63,41,64,63,92,97,88,75,115,137,124,109,142,123,120,104,101,104,86,80,91,103,112,80,72,93,73,74,61,81,105,93,105,117,155,3974
Uruguay,15,9,26,6,15,4,6,6,0,10,15,6,25,10,25,30,45,21,14,21,25,36,56,49,59,42,44,54,63,81,66,47,55,69,52,66,49,62,72,79,102,105,60,49,76,104,98,96,92,83,77,86,78,101,124,91,55,58,45,51,49,3115
